Type	N	C	B
Both_coding	12875,0.4	5470,0.301	1104,0.193
CParent_NCchild	3270,0.102	861,0.047	937,0.164
NCParent_Cchild	4691,0.146	9250,0.508	1083,0.19
Both_NonCoding	11339,0.352	2616,0.144	2586,0.453


N segregation
Type	Total	Freq
relevant	5686	0.44
ATIT:Same_amino_acid	6698	0.52
ATIT:Diff_amino_acid	58	0.0
Variation_in_coding_coods	217	0.02
pseudoC	0	0.0
pseudoN	0	0.0
No_overlap_exists	216	0.02


C segregation
Type	Total	Freq
relevant	3066	0.56
ATIT:Same_amino_acid	1824	0.33
ATIT:Diff_amino_acid	60	0.01
Variation_in_coding_coods	359	0.07
pseudoC	0	0.0
pseudoN	0	0.0
No_overlap_exists	161	0.03


B segregation
Type	Total	Freq
relevant	291	0.26
ATIT:Same_amino_acid	18	0.02
ATIT:Diff_amino_acid	4	0.0
Variation_in_coding_coods	0	0.0
pseudoC	244	0.22
pseudoN	126	0.11
No_overlap_exists	421	0.38


For N from total relevant :5686 cases 1440(0.253) have length change of -2 to 2
For C from total relevant :3066 cases 312(0.102) have length change of -2 to 2
For B from total relevant :291 cases 24(0.082) have length change of -2 to 2
All genes in which N cases are presnet are:6599
Genes in which N cases are presnet and both coding with length out of -2 to 2 arr:4243
All genes in which C cases are presnet are:3374
Genes in which C cases are presnet and both coding with length out of -2 to 2 arr:2754
All genes in which B cases are presnet are:767
Genes in which B cases are presnet and both coding with length out of -2 to 2 arr:279
All genes in which NCB union cases are presnet are:8222
Genes in which uninon NCB cases are presnet and both coding with length out of -2 to 2 arr:7275
All genes in which NCB intersection cases are presnet are:277
Genes in which intersection NCB cases are presnet and both coding with length out of -2 to 2 arr:0

Genes_list_N
Gene	Length	Structure	Variants	Name
200942	7	XP_005264995.1	1.0	KLHDC8B kelch domain containing 8B
762	24	XP_011523485.1	1.0	CA4 carbonic anhydrase 4
283985	-21	XP_016879947.1	False	FADS6 fatty acid desaturase 6
154197	14	NP_775787.1	1.0	PNLDC1 PARN like, ribonuclease domain containing 1
98	-28	NP_001307518.1	1.0	ACYP2 acylphosphatase 2
127281	7	XP_011538967.1	False	FAM213B family with sequence similarity 213 member B
164312	-4	XP_011527485.1	1.0	LRRN4 leucine rich repeat neuronal 4
78997	-19	NP_001243667.1	1.0	GDAP1L1 ganglioside induced differentiation associated protein 1 like 1
256710	85	XP_011536436.2	1.0	GLIPR1L1 GLIPR1 like 1
8456	17	XP_016880719.1	1.0	FOXN1 forkhead box N1
8634	-8	XP_005271355.1	1.0	RTCA RNA 3'-terminal phosphate cyclase
4891	-18	XP_016874845.1	False	SLC11A2 solute carrier family 11 member 2
143684	8	XP_011540914.1	False	FAM76B family with sequence similarity 76 member B
2030	-17	XP_005248937.1	False	SLC29A1 solute carrier family 29 member 1 (Augustine blood group)
10628	28	NP_001300901.1	1.0	TXNIP thioredoxin interacting protein
1198	14	XP_011519507.1	1.0	CLK3 CDC like kinase 3
54209	30	XP_006715179.1	1.0	TREM2 triggering receptor expressed on myeloid cells 2
7709	7	NP_001229813.1	1.0	ZBTB17 zinc finger and BTB domain containing 17
84617	-54	NP_001290459.1	1.0	TUBB6 tubulin beta 6 class V
26013	30	NP_056293.4	1.0	L3MBTL1 L3MBTL1, histone methyl-lysine binding protein
23621	-25	NP_001193978.1	1.0	BACE1 beta-secretase 1
91304	6	XP_005259734.1	False	TMEM259 transmembrane protein 259
55876	4	XP_016880340.1	False	GSDMB gasdermin B
57471	-20	NP_001291275.1	1.0	ERMN ermin
